T,alt_loglik,alt_theta_0,alt_theta_1,alt_theta_2,alt_theta_3,alt_theta_4,cp_idx_local,first_alt_tau,inferred_change,k_idx,k_time,model,null_loglik,null_theta_0,null_theta_1,null_theta_2,null_theta_3,prefix,sec_per_window,slice_start,slice_stop,t,win_end_local,win_start_local
0.5408523402772403,156.35384093784046,0.5960175391426108,0.7519305027492813,0.9863851622977162,0.5982764557368504,0.4683020681993198,59,4.166666666666667,0.5981420872266731,1,4.916666666666667,lotka_volterra,156.08341476770184,0.5962495007715084,0.7520057538856018,0.9862399225879156,0.5981420872266731,lv_poisson_run_20251209,1.8618440451100469,0,110,4.916666666666667,59,0
0.6521203283986097,155.39453676165294,0.58860365499118,0.7492708614838358,0.9743355005475242,0.5947512016674187,0.4646891792436217,60,4.25,0.594383171763609,1,5.0,lotka_volterra,155.06847659745364,0.5893378349242626,0.7496131102218156,0.9738768495706875,0.594383171763609,lv_poisson_run_20251209,1.3156724777072668,0,110,5.0,60,1
0.5994540133383452,157.2315999592696,0.5895272042180733,0.7521361716950968,0.9432827516799086,0.5873694267068362,0.6256187738989669,52,4.333333333333333,0.5923084042343096,10,4.333333333333333,lotka_volterra,156.93187295260043,0.5829379150944679,0.7482390848152853,0.9515637351016532,0.5923084042343096,lv_poisson_run_20251209,1.2027315106242895,0,110,5.083333333333333,61,2
1.1565380100258267,157.37819219359957,0.582906293237723,0.748204003301869,0.9486915278687816,0.5890961545344096,0.6425289947253343,53,4.416666666666667,0.5964275168951442,10,4.416666666666667,lotka_volterra,156.79992318858666,0.5734425598924793,0.7424341785948089,0.9619711890537592,0.5964275168951442,lv_poisson_run_20251209,1.2631011167541146,0,110,5.166666666666667,62,3
0.7502313015212962,157.7333763409905,0.5830943470357253,0.746210362137827,0.9692480057480962,0.5938455073245357,0.6364648031175877,54,4.5,0.5996403737524927,10,4.5,lotka_volterra,157.35826069022986,0.5762428178899968,0.7418421169958501,0.9808085812564885,0.5996403737524927,lv_poisson_run_20251209,1.2637286772951484,0,110,5.25,63,4
0.7303682190223526,157.33846981487986,0.5807259714586303,0.7444132780937462,0.9791849734094699,0.598768968184013,0.4838677896024822,64,4.583333333333333,0.597829664236504,1,5.333333333333333,lotka_volterra,156.97328570536868,0.5824496147739421,0.7454241321522681,0.9775618532504781,0.597829664236504,lv_poisson_run_20251209,1.2586252773180604,0,110,5.333333333333333,64,5
0.7851214093593057,161.81272592944018,0.5681529368147215,0.7336647663266914,0.992768892762042,0.6016893456184114,0.5154851053756265,62,4.666666666666667,0.5994276039126287,4,5.166666666666667,lotka_volterra,161.42016522476052,0.5710102306250636,0.7354723854612528,0.9875828038890239,0.5994276039126287,lv_poisson_run_20251209,1.4614045629277825,0,110,5.416666666666667,65,6
1.0454192373581463,164.52991212746457,0.5724586269234687,0.7329863158897016,1.0408443378688328,0.6093858156435176,0.5272017622479541,62,4.75,0.6053968152568536,5,5.166666666666667,lotka_volterra,164.0072025087855,0.5777738792906711,0.7357408124928233,1.0318526202575369,0.6053968152568536,lv_poisson_run_20251209,1.2624442866072059,0,110,5.5,66,7
1.0656575962561305,170.530267103282,0.5705062666300629,0.7279835820265408,1.1242497439142798,0.6226964993558907,0.5527026048679697,62,4.833333333333333,0.6181953198751907,6,5.166666666666667,lotka_volterra,169.99743830515393,0.5754286021339191,0.7310995921461008,1.1121844176099123,0.6181953198751907,lv_poisson_run_20251209,1.2243707245215774,0,110,5.583333333333333,67,8
1.835478189344883,173.95235401023865,0.5650648639230929,0.7211500462954957,1.123117525580335,0.6227090140948162,0.5379542607509827,62,4.916666666666667,0.6157993297966449,7,5.166666666666667,lotka_volterra,173.0346149155662,0.5724447400249768,0.7256193249843866,1.1041947600322197,0.6157993297966449,lv_poisson_run_20251209,1.1995578734204173,0,110,5.666666666666667,68,9
1.4844395011672304,174.30205874423592,0.5666101908706234,0.7185132345559209,1.1454953670313182,0.6254700254872775,0.5577993273016735,62,5.0,0.6183882436943597,8,5.166666666666667,lotka_volterra,173.5598389936523,0.5727684717534717,0.7227895563800018,1.122090564897788,0.6183882436943597,lv_poisson_run_20251209,1.348694876767695,0,110,5.75,69,10
1.2015611668018664,175.31159189218334,0.5606688842403549,0.7158103386518382,1.1041446282239085,0.6203117357853323,0.5660795570690833,62,5.083333333333333,0.6131579555787606,9,5.166666666666667,lotka_volterra,174.7108113087824,0.5661923320901909,0.7198593896455016,1.0785017573346651,0.6131579555787606,lv_poisson_run_20251209,1.4823006093502045,0,110,5.833333333333333,70,11
1.864559990500652,175.51762870773263,0.5638799950788689,0.7170369414780913,1.147271329110691,0.6257371815039889,0.5657757982331169,62,5.166666666666667,0.6160614757625285,10,5.166666666666667,lotka_volterra,174.5853487124823,0.5709070345573344,0.722094684689914,1.1105401834864288,0.6160614757625285,lv_poisson_run_20251209,1.3196233827620745,0,110,5.916666666666667,71,12
2.2629865830687095,175.02334690094034,0.5615195405691613,0.7141909958112747,1.1521009639724271,0.6257715848733056,0.5618947467367492,63,5.25,0.6152052290986535,10,5.25,lotka_volterra,173.89185360940598,0.5686408785329025,0.7194608786711403,1.1086268099658072,0.6152052290986535,lv_poisson_run_20251209,1.3086416628211737,0,110,6.0,72,13
1.2297619272692373,172.25166176770753,0.5543999596521528,0.7099088309698972,1.1491784970233527,0.6243301216202652,0.5775145929128888,64,5.333333333333333,0.6172028527423604,10,5.333333333333333,lotka_volterra,171.6367808040729,0.5589535597070688,0.7133546329164516,1.1190692278034875,0.6172028527423604,lv_poisson_run_20251209,1.3247452219948173,0,110,6.083333333333333,73,14
